startdate,enddate,theisen,p5max,p10max,p15max,p30max,p60max,ei
3/7/2012 20:09,3/7/2012 22:55,0.288,0.756,0.486,0.432,0.342,0.207,0.94
3/8/2012 1:54,3/8/2012 1:55,0.009,-9,-9,-9,-9,-9,-9
3/12/2012 1:29,3/12/2012 6:10,0.378,0.216,0.216,0.216,0.18,0.162,0.592
3/12/2012 12:09,3/12/2012 16:55,0.099,0.324,0.27,0.18,0.108,0.054,0.095
3/23/2012 1:34,3/23/2012 1:50,0.018,0.108,0.054,0.036,-9,-9,-9
3/23/2012 6:09,3/23/2012 9:00,0.126,0.648,0.432,0.288,0.144,0.072,0.178
3/23/2012 16:29,3/23/2012 20:40,0.261,0.216,0.162,0.18,0.144,0.108,0.316
3/24/2012 0:49,3/24/2012 5:10,0.09,0.216,0.162,0.144,0.09,0.045,0.069
3/30/2012 4:24,3/30/2012 9:25,0.504,0.216,0.216,0.18,0.18,0.162,0.78
4/3/2012 3:54,4/3/2012 6:00,0.126,0.648,0.378,0.252,0.126,0.063,0.15
4/7/2012 22:14,4/7/2012 22:55,0.027,0.108,0.108,0.072,0.036,-9,0.008
4/15/2012 1:14,4/15/2012 2:05,0.081,0.108,0.108,0.108,0.09,-9,0.06
4/15/2012 5:34,4/15/2012 9:00,0.812,1.092,1.038,0.872,0.598,0.434,4.849
4/15/2012 19:34,4/15/2012 19:50,0.018,0.108,0.054,0.036,-9,-9,-9
4/16/2012 7:54,4/16/2012 8:50,0.036,0.324,0.162,0.108,0.054,-9,0.018
4/18/2012 8:44,4/18/2012 8:45,0.009,-9,-9,-9,-9,-9,-9
4/18/2012 16:24,4/18/2012 16:30,0.064,0.552,-9,-9,-9,-9,-9
4/19/2012 16:39,4/20/2012 5:50,1.485,0.432,0.378,0.36,0.324,0.297,4.41
4/20/2012 13:24,4/20/2012 13:25,0.009,-9,-9,-9,-9,-9,-9
4/29/2012 23:04,4/30/2012 3:20,0.279,0.432,0.324,0.288,0.27,0.207,0.683
5/2/2012 5:05,5/2/2012 7:32,0.505,1.596,1.464,1.192,0.74,0.406,3.442
5/2/2012 23:55,5/3/2012 11:25,2.986,8.148,5.34,3.74,1.996,1.068,57.56
5/4/2012 9:26,5/4/2012 9:27,0.009,-9,-9,-9,-9,-9,-9
5/5/2012 3:30,5/5/2012 5:57,0.081,0.324,0.27,0.216,0.126,0.072,0.084
5/6/2012 8:50,5/6/2012 12:15,0.774,0.54,0.486,0.504,0.432,0.378,2.774
5/8/2012 18:55,5/8/2012 19:00,0.045,0.54,-9,-9,-9,-9,-9
5/24/2012 23:49,5/24/2012 23:56,0.018,0.108,-9,-9,-9,-9,-9
5/26/2012 2:39,5/26/2012 2:40,0.009,-9,-9,-9,-9,-9,-9
5/26/2012 5:33,5/26/2012 6:34,0.045,0.216,0.108,0.072,0.054,0.036,0.02
5/26/2012 16:07,5/26/2012 20:57,0.288,0.324,0.27,0.216,0.18,0.126,0.429
5/26/2012 23:16,5/26/2012 23:45,0.036,0.108,0.108,0.072,-9,-9,-9
6/2/2012 13:18,6/2/2012 13:19,0.009,-9,-9,-9,-9,-9,-9
6/2/2012 19:37,6/2/2012 20:06,0.036,0.216,0.162,0.108,-9,-9,-9
6/16/2012 12:17,6/16/2012 12:24,0.027,0.216,-9,-9,-9,-9,-9
6/16/2012 15:18,6/16/2012 16:45,0.287,1.92,1.452,1.112,0.556,0.278,1.542
6/18/2012 4:06,6/18/2012 6:38,1.176,4.848,3.384,2.776,1.788,0.966,20.584
6/18/2012 17:27,6/18/2012 19:07,0.492,1.56,1.218,0.884,0.586,0.393,2.63
6/20/2012 23:13,6/21/2012 1:12,0.286,1.368,0.846,0.6,0.3,0.195,0.793
6/21/2012 5:02,6/21/2012 5:15,0.018,0.108,0.054,-9,-9,-9,-9
6/22/2012 13:44,6/22/2012 17:09,0.207,0.864,0.702,0.504,0.288,0.144,0.519
7/3/2012 6:54,7/3/2012 7:09,0.811,6.66,4.758,3.244,-9,-9,-9
7/4/2012 23:24,7/4/2012 23:55,0.229,1.44,1.044,0.696,0.44,-9,0.946
7/9/2012 18:28,7/9/2012 18:40,0.036,0.216,0.162,-9,-9,-9,-9
7/17/2012 15:32,7/17/2012 16:39,1.532,4.584,3.612,3.336,2.758,1.523,39.552
7/17/2012 22:50,7/17/2012 23:24,0.368,1.8,1.398,1.04,0.718,-9,2.478
7/18/2012 6:46,7/18/2012 7:08,0.027,0.108,0.108,0.072,-9,-9,-9
7/18/2012 9:32,7/18/2012 9:33,0.009,-9,-9,-9,-9,-9,-9
7/19/2012 3:39,7/19/2012 5:27,0.09,0.216,0.162,0.144,0.072,0.072,0.054
7/19/2012 7:58,7/19/2012 10:09,0.108,0.216,0.162,0.144,0.108,0.081,0.097
7/19/2012 15:20,7/19/2012 15:56,0.027,0.108,0.108,0.072,0.036,-9,0.008
7/25/2012 2:37,7/25/2012 2:38,0.009,-9,-9,-9,-9,-9,-9
7/25/2012 7:35,7/25/2012 7:39,0.094,-9,-9,-9,-9,-9,-9
7/25/2012 19:24,7/25/2012 20:31,1.486,5.016,4.554,3.98,2.492,1.468,38.151
7/26/2012 3:07,7/26/2012 4:47,0.189,0.54,0.486,0.36,0.234,0.162,0.37
7/26/2012 13:51,7/26/2012 14:28,0.409,1.44,1.32,1.168,0.8,-9,3.011
7/27/2012 2:20,7/27/2012 3:24,0.216,0.648,0.486,0.432,0.306,0.207,0.552
7/27/2012 7:32,7/27/2012 8:16,0.108,0.324,0.27,0.252,0.198,-9,0.177
7/27/2012 10:38,7/27/2012 11:56,0.045,0.108,0.108,0.108,0.054,0.036,0.02
7/29/2012 18:50,7/29/2012 18:57,0.027,0.216,-9,-9,-9,-9,-9
7/30/2012 19:12,7/30/2012 19:19,0.027,0.216,-9,-9,-9,-9,-9
8/2/2012 3:05,8/2/2012 3:51,0.081,0.216,0.216,0.18,0.126,-9,0.084
8/2/2012 11:27,8/2/2012 12:24,0.054,0.108,0.108,0.072,0.054,-9,0.024
8/4/2012 16:40,8/4/2012 17:39,1.066,3.024,2.118,1.972,1.366,-9,14.361
8/9/2012 0:39,8/9/2012 11:36,1.08,0.324,0.27,0.252,0.234,0.207,2.091
8/9/2012 15:50,8/9/2012 22:18,0.73,0.768,0.6,0.472,0.38,0.28,2.319
8/10/2012 5:37,8/10/2012 5:38,0.009,-9,-9,-9,-9,-9,-9
8/13/2012 21:06,8/13/2012 21:43,0.018,0.108,0.054,0.036,0.018,-9,0.003
8/16/2012 4:56,8/16/2012 6:16,0.063,0.108,0.108,0.072,0.054,0.045,0.028
8/16/2012 8:18,8/16/2012 9:33,0.525,1.44,1.206,0.984,0.708,0.498,3.249
8/19/2012 14:12,8/19/2012 14:22,0.054,0.432,0.324,-9,-9,-9,-9
8/23/2012 7:33,8/23/2012 7:34,0.009,-9,-9,-9,-9,-9,-9
