Start,Stop,stormRunoff,Tpload,Precip,P5max,P10max,P15max,P30max,P60max,EI
3/30/2012 3:39,3/30/2012 7:47,6731,1.18,0.85,0.43,0.43,0.36,0.34,0.28,2.39
4/15/2012 4:10,4/15/2012 7:54,6083,1.67,1.21,2.62,1.96,1.66,0.99,0.75,11.14
4/19/2012 21:58,4/20/2012 3:35,66787,8.34,0.74,0.43,0.32,0.32,0.29,0.25,1.76
5/6/2012 8:51,5/6/2012 12:40,36202,6.24,0.80,1.73,1.35,1.08,0.67,0.53,4.67
4/8/2013 8:15,4/8/2013 11:43,22417,2.38,0.50,0.43,0.38,0.36,0.32,0.26,1.35
4/9/2013 8:01,4/9/2013 15:22,84188,11.30,1.13,0.86,0.86,0.76,0.65,0.48,6.11
4/10/2013 0:29,4/10/2013 3:35,153214,13.20,1.23,0.86,0.59,0.50,0.36,0.30,1.94
4/15/2013 1:37,4/15/2013 4:20,35728,3.21,0.40,0.43,0.38,0.36,0.25,0.19,0.53
4/17/2013 10:34,4/17/2013 15:42,110778,10.79,1.07,0.32,0.32,0.29,0.23,0.23,1.01
5/9/2013 13:56,5/10/2013 7:39,41882,3.45,1.809,0.432,0.324,0.324,0.288,0.234,4.311
6/12/2013 16:09,6/12/2013 21:19,8359,1.78,0.95,1.44,1.14,0.88,0.48,0.29,4.06
6/15/2013 21:25,6/15/2013 22:39,32470,20.88,0.28,1.19,1.03,0.79,0.43,0.25,1.09
6/21/2013 9:11,6/21/2013 12:05,17286,2.84,1.02,2.17,1.57,1.57,1.22,0.76,11.37
10/31/2013 2:39,10/31/2013 22:03,7899,4.00,2.373,2.772,1.71,1.284,1.026,0.756,21.649
11/17/2013 7:26,11/17/2013 11:31,3694,2.12,1.08,1.728,1.404,1.224,0.666,0.369,3.765
4/12/2014 10:46,4/12/2014 13:49,103200,23.52,1.15,3.312,2.358,1.896,1.2,0.69,15.632
4/13/2014 16:13,4/14/2014 4:46,97472,13.75,2.547,0.756,0.648,0.576,0.558,0.477,11.8
5/12/2014 3:40,5/12/2014 5:48,10857,2.83,0.597,3.06,2.556,2.028,1.158,0.588,6.895
5/12/2014 11:22,5/12/2014 12:16,26841,4.51,0.378,2.052,1.512,1.224,0.702,-9,2.505
5/12/2014 22:45,5/13/2014 1:09,16250,2.16,0.27,0.216,0.216,0.18,0.162,0.126,0.253
6/1/2014 18:19,6/2/2014 2:55,62894,12.64,2.441,3.336,2.208,1.508,0.996,0.711,22.592
6/2/2014 10:01,6/2/2014 12:16,87862,12.51,0.731,2.616,1.848,1.808,1.192,0.695,8.352
6/16/2014 23:10,6/17/2014 4:19,17755,2.48,1.408,4.668,4.122,3.22,1.826,1.03,24.911
6/18/2014 6:05,6/18/2014 10:48,284045,35.29,2.331,2.592,2.052,1.764,1.584,1.422,34.403
6/19/2014 21:17,6/19/2014 23:43,20670,2.43,0.441,0.756,0.648,0.576,0.432,0.324,1.61
6/20/2014 5:25,6/20/2014 9:18,206776,14.20,1.134,0.972,0.864,0.828,0.666,0.513,6.421
6/23/2014 3:33,6/23/2014 6:51,8787,1.20,0.688,3.828,2.832,2.356,1.268,0.643,8.801
