# //UNITED STATES GEOLOGICAL SURVEY       http://water.usgs.gov/
# //NATIONAL WATER INFORMATION SYSTEM     http://water.usgs.gov/data.html
# //DATA ARE PROVISIONAL AND SUBJECT TO CHANGE UNTIL PUBLISHED BY USGS
# //RETRIEVED: 2013-10-17 10:18:24
# //FILE TYPE="NWIS-I UNIT-VALUES" EDITABLE=NO
# //DATABASE NUMBER=1 DESCRIPTION=" Wisconsin QWFILE"
# //STATION AGENCY="USGS " NUMBER="434246090465801" TIME_ZONE="CST" DST_FLAG=Y
# //STATION NAME="DISCOVERY FARMS-JERSEY WATERWAY 3 NEAR CASHTON, WI"
# //LOCATION NUMBER=0 NAME="Default"
# //DD DDID="   1" RNDARY="3334567893" DVABORT=120
# //DD LABEL="Gage height (ft)"
# //PARAMETER CODE="00065" SNAME="Gage height"
# //PARAMETER LNAME="Gage height, feet"
# //TYPE CODE=C NAME=COMPUTED
# //RANGE START="20130310000000" END="20130311235959" ZONE="LOC"
DATETIME	TZCD	VALUE	PRECISION	REMARK	FLAGS	QA
14D	6S	16N	1S	1S	32S	1S
20130310000000	CST	0.000	3	 		W
20130310001500	CST	0.000	3	 		W
20130310003000	CST	0.000	3	 		W
20130310004500	CST	0.000	3	 		W
20130310010000	CST	0.000	3	 		W
20130310011500	CST	0.000	3	 		W
20130310013000	CST	0.000	3	 		W
20130310014500	CST	0.000	3	 		W
20130310030000	CDT	0.000	3	 		W
20130310031500	CDT	0.000	3	 		W
20130310033000	CDT	0.000	3	 		W
20130310034500	CDT	0.000	3	 		W
20130310040000	CDT	0.000	3	 		W
20130310041500	CDT	0.000	3	 		W
20130310043000	CDT	0.000	3	 		W
20130310044500	CDT	0.000	3	 		W
20130310050000	CDT	0.000	3	 		W
20130310051500	CDT	0.000	3	 		W
20130310053000	CDT	0.000	3	 		W
20130310054500	CDT	0.000	3	 		W
20130310060000	CDT	0.000	3	 		W
20130310061500	CDT	0.000	3	 		W
20130310063000	CDT	0.000	3	 		W
20130310064500	CDT	0.000	3	 		W
20130310070000	CDT	0.000	3	 		W
20130310071500	CDT	0.000	3	 		W
20130310073000	CDT	0.000	3	 		W
20130310074500	CDT	0.000	3	 		W
