"sites"	"Q90"	"Q72"	"Q710"	"Q72lm"	"Q710lm"	"minDate"	"maxDate"	"numYear"
"055451345"	0.09	"0.08"	"0.02"	"0.13"	"0.01"	1970-04-01	2008-09-30	12
"05435950"	NA	"no data available for site 05435950 1969-10-01 2008-09-30"	"no data available for site 05435950 1969-10-01 2008-09-30"	"no data available for site 05435950 1969-10-01 2008-09-30"	"no data available for site 05435950 1969-10-01 2008-09-30"	2015-02-26	2008-09-30	0
"05435943"	14	"14"	"NaN"	NA	NA	1970-04-01	2008-09-30	1
"05426500"	NA	"no data available for site 05426500 1969-10-01 2008-09-30"	"no data available for site 05426500 1969-10-01 2008-09-30"	"no data available for site 05426500 1969-10-01 2008-09-30"	"no data available for site 05426500 1969-10-01 2008-09-30"	2015-02-26	2008-09-30	0
"05408500"	NA	"no data available for site 05408500 1969-10-01 2008-09-30"	"no data available for site 05408500 1969-10-01 2008-09-30"	"no data available for site 05408500 1969-10-01 2008-09-30"	"no data available for site 05408500 1969-10-01 2008-09-30"	2015-02-26	2008-09-30	0
"05403000"	NA	"no data available for site 05403000 1969-10-01 2008-09-30"	"no data available for site 05403000 1969-10-01 2008-09-30"	"no data available for site 05403000 1969-10-01 2008-09-30"	"no data available for site 05403000 1969-10-01 2008-09-30"	2015-02-26	2008-09-30	0
"05402500"	NA	"no data available for site 05402500 1969-10-01 2008-09-30"	"no data available for site 05402500 1969-10-01 2008-09-30"	"no data available for site 05402500 1969-10-01 2008-09-30"	"no data available for site 05402500 1969-10-01 2008-09-30"	2015-02-26	2008-09-30	0
"05400500"	NA	"no data available for site 05400500 1969-10-01 2008-09-30"	"no data available for site 05400500 1969-10-01 2008-09-30"	"no data available for site 05400500 1969-10-01 2008-09-30"	"no data available for site 05400500 1969-10-01 2008-09-30"	2015-02-26	2008-09-30	0
"05400000"	NA	"no data available for site 05400000 1969-10-01 2008-09-30"	"no data available for site 05400000 1969-10-01 2008-09-30"	"no data available for site 05400000 1969-10-01 2008-09-30"	"no data available for site 05400000 1969-10-01 2008-09-30"	2015-02-26	2008-09-30	0
"05399000"	NA	"no data available for site 05399000 1969-10-01 2008-09-30"	"no data available for site 05399000 1969-10-01 2008-09-30"	"no data available for site 05399000 1969-10-01 2008-09-30"	"no data available for site 05399000 1969-10-01 2008-09-30"	2015-02-26	2008-09-30	0
